,norm_form,True label,Predicted,Norm morph features,Transformed morph features
1,_продремал#,продремлют,продремлут,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,3per,futr,indc"
2,_лесоторговец#,лесоторговцами,лестотоговцами,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,ablt"
3,_загубил#,загубите,загубьте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
4,_тру#,тёр,трал,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran masc,sing,past,indc"
0,_обезлесился#,обезлешусь,обежлешусь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
1,_проконтролировал#,проконтролируешь,проконтрулируешь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,2per,futr,indc"
2,_набурил#,набури,набурь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
3,_наём#,наймы,наёмы,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
4,_льня#,льнувши,льнявши,"GRND,impf,intr pres","GRND,impf,intr past,V-sh"
5,_произошедший#,происшедшее,произошедшее,"PRTF,perf,intr,past,actv masc,sing,nomn,Infr","PRTF,perf,intr,past,actv neut,sing,accs"
6,_наградил#,награди,наградь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
7,_равновесие#,равновесьями,равновесиями,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,ablt,V-be"
8,_выплатил#,выплати,выплать,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
9,_государственно-монополистический#,государственно-монополистическая,государственно-монополистичеаелая,"ADJF masc,sing,nomn","ADJF femn,sing,nomn"
10,_нумеровально-впечатывающий#,нумеровально-впечатывающею,нумеровально-впечатывщещею,"ADJF masc,sing,nomn","ADJF femn,sing,ablt,V-ey"
11,_великодушничаю#,великодушничали,великодошничали,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,past,indc"
12,_зеленовато-голубой#,зеленовато-голубую,зеленовато-голубою,"ADJF masc,sing,nomn","ADJF femn,sing,accs"
0,_переизбрал#,переизберут,переиббрут,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,3per,futr,indc"
1,_эвакуируя#,эвакуировав,эвакоировав,"GRND,impf,tran pres","GRND,impf,tran past"
2,_кайма#,каём,каем,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,gent"
3,_библиофильство#,библиофильства,бибииофильства,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,nomn"
4,_сирочусь#,сиротитесь,сирочьтесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
5,_мужичище#,мужичищи,мужичище,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,gent,Infr"
6,_административно-бюджетный#,административно-бюджетного,административно-ббежетного,"ADJF masc,sing,nomn","ADJF neut,sing,gent"
7,_стегно#,стёгнами,стеннами,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,ablt"
8,_увечу#,увечили,уветили,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,past,indc"
9,_междуосевой#,междуосевых,межудосевых,"ADJF masc,sing,nomn","ADJF anim,plur,accs"
0,_зитцкриг#,зитцкригу,зитккригу,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv"
1,_закружённый#,закружённое,закруженное,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv neut,sing,nomn,Infr"
2,_мосспецавтоматика#,мосспецавтоматикою,мосспецавтомттикою,"NOUN,inan,femn,Sgtm,Orgn sing,nomn","NOUN,inan,femn,Sgtm,Orgn sing,ablt,V-oy"
3,_кандыба#,кандыбых,кандыб,"NOUN,anim,femn sing,nomn","NOUN,anim,femn plur,gent"
4,_сверхдолог#,сверхдолго,сверхдолого,"ADJS masc,sing","ADJS neut,sing"
5,_любовь#,любови,любвви,"NOUN,anim,femn,Name sing,nomn","NOUN,anim,femn,Name sing,datv"
6,_отхлыстал#,отхлыщемте,отхлыстаемте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,incl"
0,_колыхающийся#,колышущихся,колыхающихся,"PRTF,impf,intr,pres,actv masc,sing,nomn","PRTF,impf,intr,pres,actv anim,plur,accs,Infr"
1,_подкатка#,подкаток,подокток,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,gent"
2,_силюсь#,сильтесь,силитесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
3,_противопомеховый#,противопомеховой,противопомеховый,"ADJF masc,sing,nomn","ADJF femn,sing,ablt"
0,_таращусь#,таращимся,тарастимся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,1per,pres,indc"
1,_селюсь#,селись,селься,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
2,_13-й#,13-ый,11-,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum masc,sing,nomn"
3,_загорбок#,загорбки,загробки,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
0,_погружённый#,погружённой,погруженной,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv femn,sing,gent,Infr"
1,_вояка#,вояк,воякой,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,accs"
2,_трафлю#,трафьте,трафите,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
3,_боюсь#,боимся,боемся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,1per,pres,indc"
4,_девяностовыводной#,девяностовыводному,девяностововодному,"ADJF masc,sing,nomn","ADJF neut,sing,datv"
5,_микроуровень#,микроуровни,микроуровени,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,nomn"
0,_умертвлён#,умерщвлена,умертвлена,"PRTS,perf,past,pssv masc,sing,Infr","PRTS,perf,past,pssv femn,sing"
1,_заряжённый#,заряженному,заряжённому,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv neut,sing,datv"
2,_олицетворил#,олицетворят,ольцетворят,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,3per,futr,indc"
3,_выгодоприобретатель#,выгодоприобретателей,выгодоприобретательей,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,accs"
4,_алтайремстроймонтаж#,алтайремстроймонтажам,алтайремстроймонтам,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,datv"
5,_квохчу#,квохтал,квохтил,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr masc,sing,past,indc"
6,_мерюсь#,меряется,мерёсся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,3per,pres,indc,Infr"
7,_вздвоённый#,вздвоенного,вздвоённого,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv masc,sing,gent"
0,_мещански-претенциозен#,мещански-претенциозны,мещански-претныциозенны,"ADJS masc,sing",ADJS plur
1,_горациевич#,горацьевичами,горациевичами,"NOUN,anim,masc,Patr sing,nomn,V-ie","NOUN,anim,masc,Patr plur,ablt"
2,_оффшор#,оффшоры,оффморы,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
3,_изукрасился#,изукрашусь,изукрасюсь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
4,_обшлёпался#,обшлёпаюсь,обшлепаюсь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
5,_борщ#,борщом,борщем,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,ablt"
6,_тигель#,тиглях,тигелях,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,loct"
7,_вывел#,выведите,вывеите,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
8,_междуосевой#,междуосевым,межудосевым,"ADJF masc,sing,nomn","ADJF plur,datv"
9,_бернец#,бернцам,бернецам,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,datv"
0,_толпошась#,толпошившись,толпошивьвши,"GRND,impf,intr pres","GRND,impf,intr past,V-sh"
1,_зыблюсь#,зыблешься,зыбешься,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,2per,pres,indc"
2,_утроился#,утройтесь,утроитесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
3,_аганбегяны#,аганбегянов,аганбегьнов,"NOUN,anim,ms-f,Pltm,Surn plur,nomn","NOUN,anim,ms-f,Pltm,Surn plur,gent"
4,_натянул#,натяни,натянь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
5,_глохну#,глох,глохлу,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr masc,sing,past,indc"
6,_алтайстройторгреклама#,алтайстройторгрекламой,алтайстройторгрекламай,"NOUN,inan,femn,Sgtm,Orgn sing,nomn","NOUN,inan,femn,Sgtm,Orgn sing,ablt"
7,_многолетнемерзлый#,многолетнемерзлому,многолетнемерллому,"ADJF masc,sing,nomn","ADJF masc,sing,datv"
8,_колошмачусь#,колошматитесь,колосматитесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,2per,pres,indc"
0,_растолчённый#,растолчённой,растолёчнной,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv femn,sing,gent"
1,_клерикально-партикуляристский#,клерикально-партикуляристском,клерикально-партикуляристкком,"ADJF masc,sing,nomn","ADJF masc,sing,loct"
2,_облсуд#,облсудами,облусуами,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,ablt"
3,_растолчённый#,растолчённые,растолёчнные,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv inan,plur,accs"
4,_авдиевич#,авдиевича,авдьевича,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr sing,accs"
5,_засмердел#,засмердите,засмердеете,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,2per,futr,indc"
6,_полулежу#,полулежали,полуледили,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,past,indc"
7,_чёркаемый#,черкаемое,чёркаемое,"PRTF,impf,tran,pres,pssv masc,sing,nomn,Infr","PRTF,impf,tran,pres,pssv neut,sing,accs"
8,_вытерся#,вытритесь,вытеритесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
9,_13-й#,13-ом,16-мм,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum masc,sing,loct"
10,_трибрахий#,трибрахия,трибрахоя,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,gent"
0,_клерикально-партикуляристский#,клерикально-партикуляристским,клерикально-партивулярисским,"ADJF masc,sing,nomn","ADJF plur,datv"
1,_клею#,клеили,клели,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,past,indc"
2,_10-й#,10-ый,нв-й,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum inan,masc,sing,accs"
3,_придаю#,придавала,придала,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran femn,sing,past,indc"
4,_13-й#,13-ю,16-ую,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum femn,sing,accs"
5,_пятеро#,пятерых,пятрых,"NUMR,Coll nomn","NUMR,Coll gent"
6,_плосколицый#,плосколицему,плосколицому,"ADJF masc,sing,nomn","ADJF neut,sing,datv"
7,_подманённый#,подманенном,подманённом,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv neut,sing,loct"
8,_отогнал#,отгонят,отогнят,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,3per,futr,indc"
9,_нарожал#,нарожай,нарожи,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
0,_богочеловек#,боголюди,богочеловеки,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,nomn"
1,_грызу#,грыз,грызол,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran masc,sing,past,indc"
2,_поток#,потоках,потках,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,loct"
3,_окунулся#,окунись,окунься,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
4,_эль#,элю,эль,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv"
5,_блюдце#,блюдцам,блюдцем,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,datv"
6,_рюмлю#,рюмьте,рюмите,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
7,_бахнул#,бахнете,бахнёте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,2per,futr,indc"
8,_оказёнил#,оказёнь,оказёни,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
9,_тмим#,тмишь,тмимеш,"VERB,impf,tran plur,1per,pres,indc","VERB,impf,tran sing,2per,pres,indc"
10,_франко-хозяйство#,франко-хозяйству,франко-хозяюству,"NOUN,inan,neut sing,nomn","NOUN,inan,neut sing,datv"
0,_поток#,потоки,потки,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
1,_ростов-на-дону#,ростов-на-дону,ростов-н--дону,"NOUN,inan,masc,Sgtm,Geox sing,nomn","NOUN,inan,masc,Sgtm,Geox sing,accs"
2,_откристаллизовавшись#,откристаллизовавшись,откристалиизовавшись,"GRND,perf,intr past,V-sh","GRND,perf,intr past,V-sh"
3,_планшайба#,планшайб,планшаеб,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,gent"
4,_переудил#,переужу,переудлю,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
0,_разнял#,разнимут,разомут,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,3per,futr,indc"
1,_генерал-губернатор#,генерал-губернаторов,генерал-губерлыторов,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,gent"
2,_наспал#,наспите,наспадите,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
3,_породнённый#,породнённом,породненном,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv neut,sing,loct"
4,_анабибиевна#,анабибиевну,анабибьевну,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,accs"
5,_чёрно-пёстрый#,чёрно-пёстрой,чёрно-пёстрый,"ADJF masc,sing,nomn","ADJF femn,sing,gent"
6,_выхолащивание#,выхолащиванья,выхолащиваванья,"NOUN,inan,neut,Sgtm sing,nomn","NOUN,inan,neut,Sgtm sing,gent,V-be"
7,_дезинсектированный#,дезинсектированного,дезинскетированного,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv neut,sing,gent"
8,_дорожу#,дорожишь,дородишь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,2per,pres,indc"
9,_грохочусь#,грохотится,грохочится,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,3per,pres,indc"
10,_проникся#,проникнешься,пронисёшься,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,2per,futr,indc"
11,_приподнятый#,приподнятых,приподяятых,"PRTF,perf,tran,past,pssv,Adjx masc,sing,nomn","PRTF,perf,tran,past,pssv,Adjx plur,gent"
12,_сверхсквозной#,сверхсквозными,сверхсквозноми,"ADJF masc,sing,nomn","ADJF plur,ablt"
13,_священнодействен#,священнодейственен,священнодейстченен,"ADJS masc,sing","ADJS masc,sing,V-en"
0,_притёрся#,притрёмтесь,протрёмтесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,incl"
1,_железо#,желез,желёз,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,gent"
2,_мелкоцветен#,мелкоцветно,мелконветно,"ADJS masc,sing","ADJS neut,sing"
3,_понагляделся#,понаглядись,понаглядейся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
4,_оскудел#,оскудею,оскужу,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
5,_затворённый#,затворенного,затворённого,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv anim,masc,sing,accs"
0,_посягнул#,посягнёте,посягнете,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,2per,futr,indc"
1,_подгрупповой#,подгрупповых,подгрупповох,"ADJF masc,sing,nomn","ADJF plur,loct"
2,_воскресенскагропромхимия#,воскресенскагропромхимии,воскресенскагропромхихии,"NOUN,inan,femn,Sgtm,Orgn sing,nomn","NOUN,inan,femn,Sgtm,Orgn sing,loct"
3,_парашютирую#,парашютируйте,парашьтируйте,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
4,_коминефтедорстройремонт#,коминефтедорстройремонту,коминефтедорстроюремонту,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn sing,datv"
5,_оползень#,оползни,оползени,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
6,_карь#,каря,карь,"ADJS masc,sing","ADJS femn,sing"
7,_лижусь#,лижитесь,лижьтесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
8,_палублю#,палубим,палублим,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,1per,pres,indc"
9,_удовлетворённый#,удовлетворённом,удовлевворённом,"PRTF,perf,tran,past,pssv,Adjx masc,sing,nomn","PRTF,perf,tran,past,pssv,Adjx masc,sing,loct"
10,_словотолкование#,словотолкованья,словототокованья,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,accs,V-be"
11,_электромашиностроение#,электромашиностроенья,электромашинострьенья,"NOUN,inan,neut sing,nomn","NOUN,inan,neut sing,gent,V-be"
0,_консистентен#,консистентны,консистннтны,"ADJS masc,sing",ADJS plur
1,_посочувствовал#,посочувствуем,посочуествуем,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,1per,futr,indc"
2,_стенлиевна#,стенлиевной,стенльевной,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,ablt"
0,_испортил#,испортьте,испортите,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl,Infr"
1,_выклевал#,выклюй,выклейс,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
