,norm_form,True label,Predicted,Norm morph features,Transformed morph features
1,_обрамлённый#,_обрамленному,_обрамлённому,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv neut,sing,datv,Infr"
2,_кошённый#,_кошенном,_кошённом,"PRTF,impf,tran,past,pssv masc,sing,nomn,Infr","PRTF,impf,tran,past,pssv neut,sing,loct"
3,_передневал#,_переднюет,_передневает,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
0,_махающий#,_машущей,_махающей,"PRTF,impf,intr,pres,actv masc,sing,nomn,Infr","PRTF,impf,intr,pres,actv femn,sing,loct"
1,_бормочусь#,_бормоталась,_бормотилась,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr femn,sing,past,indc"
2,_изошедший#,_исшедшим,_изошедшим,"PRTF,perf,intr,past,actv masc,sing,nomn","PRTF,perf,intr,past,actv masc,sing,ablt,Infr"
3,_противоиммуновирусный#,_противоиммуновирусным,_противоиммуновирунным,"ADJF masc,sing,nomn","ADJF neut,sing,ablt"
4,_стебло#,_стёбла,_стебла,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,nomn"
0,_государственно-муниципальный#,_государственно-муниципального,_государственно-муницициогого,"ADJF masc,sing,nomn","ADJF masc,sing,gent"
1,_поюсь#,_поятся,_поются,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,3per,pres,indc"
2,_перегнойно-элювиальный#,_перегнойно-элювиальном,_перегнойно-элюивальном,"ADJF masc,sing,nomn","ADJF masc,sing,loct"
3,_автотермоионно-эмиссионный#,_автотермоионно-эмиссионным,_автотермоионно-эмиссисным,"ADJF masc,sing,nomn","ADJF masc,sing,ablt"
4,_новокуйбышевскгоргаз#,_новокуйбышевскгоргазы,_новокуйбышевскгрогазы,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,accs"
5,_сеногной#,_сеногною,_сеногному,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv"
6,_медно-марганцево-никелевый#,_медно-марганцево-никелевый,_медно-марганцево-ноикелый,"ADJF masc,sing,nomn","ADJF inan,masc,sing,accs"
0,_физкультурно-оздоровительный#,_физкультурно-оздоровительных,_физкультурно-оздорвительных,"ADJF masc,sing,nomn","ADJF anim,plur,accs"
1,_наслал#,_нашлём,_наслём,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,1per,futr,indc"
2,_леший#,_лешие,_лешии,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,nomn"
3,_сон#,_сном,_соном,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,ablt"
4,_божий#,_божьему,_божему,"ADJF masc,sing,nomn","ADJF masc,sing,datv"
0,_красноярскагропромтехпроект#,_красноярскагропромтехпроектом,_красноярскагропромтехпектоем,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn sing,ablt"
1,_ая#,_ай,_ая,"NOUN,anim,femn,Name sing,nomn","NOUN,anim,femn,Name plur,gent"
2,_смоделировал#,_смоделирую,_смеделирую,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,1per,futr,indc"
0,_зябну#,_зябло,_зяб,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr neut,sing,past,indc"
1,_бульба#,_бульбы,_бульбо,"NOUN,anim,femn,Sgtm,Surn sing,nomn","NOUN,anim,femn,Sgtm,Surn sing,gent"
2,_аскарбиевич#,_аскарбьевичами,_аскарбиевичами,"NOUN,anim,masc,Patr sing,nomn,V-ie","NOUN,anim,masc,Patr plur,ablt"
3,_прокапал#,_прокаплю,_прокапаю,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc,Infr"
4,_жук-скарабей#,_жука-скарабея,_жук-скарабея,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,gent"
0,_никой#,_никоего,_никого,"ADJF,Apro masc,sing,nomn","ADJF,Apro masc,sing,gent"
1,_наволочённый#,_наволочённых,_наволоченных,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv anim,plur,accs"
0,_жарен#,_жарена,_жарна,"ADJS masc,sing","ADJS femn,sing"
1,_вжился#,_вживусь,_вожьусь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,1per,futr,indc"
2,_купил#,_купим,_купьём,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,1per,futr,indc"
3,_мосол#,_мослов,_мосолов,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
4,_фототок#,_фототоку,_фототку,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv"
0,_номинально-символический#,_номинально-символическому,_номинально-символвическому,"ADJF masc,sing,nomn","ADJF neut,sing,datv"
1,_10-й#,_10-му,_16-ому,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum masc,sing,datv"
2,_начинённый#,_начиненный,_начинённый,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv inan,masc,sing,accs,Infr"
3,_недослыша#,_недослышав,_недослыша,"GRND,perf,tran past,Fimp","GRND,perf,tran past"
4,_центрально-чернозёмный#,_центрально-чернозёмных,_центрально-чернозёных,"ADJF masc,sing,nomn","ADJF plur,gent"
5,_разжился#,_разживёмтесь,_разожьёмтесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,incl"
0,_обжа#,_обжей,_обж,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,gent"
1,_засечённый#,_засеченному,_засечённому,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv neut,sing,datv,Infr"
2,_свожусь#,_свозишься,_сводишься,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,2per,pres,indc"
3,_бычий#,_бычьего,_бычего,"ADJF,Poss masc,sing,nomn","ADJF,Poss masc,sing,gent"
0,_облокочённый#,_облокоченного,_облокочённого,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv masc,sing,gent"
1,_порок#,_пороком,_порком,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,ablt"
2,_подозвал#,_подзовите,_подозвайте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
3,_снаряжённый#,_снаряжённая,_снаряженная,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv femn,sing,nomn"
4,_поднадвил#,_поднадовьёте,_поднадвиёте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,2per,futr,indc"
0,_чей-нибудь#,_чьи-нибудь,_чьи-н-ибудь,"ADJF,Apro masc,sing,nomn","ADJF,Apro inan,plur,accs"
1,_двигательно-функциональный#,_двигательно-функциональным,_двигательно-функцональным,"ADJF masc,sing,nomn","ADJF masc,sing,ablt"
2,_перезаряжённый#,_перезаряженной,_перезаряжённой,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv femn,sing,loct"
3,_отуплённый#,_отупленным,_отуплённым,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv plur,datv"
4,_воздушно-сухой#,_воздушно-сухих,_воздушно-сухох,"ADJF masc,sing,nomn","ADJF plur,gent"
5,_валериевна#,_валериевны,_валерьевны,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,gent"
0,_диизопропиламиноэтанол#,_диизопропиламиноэтанола,_диизопропиламиноэтанлоа,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,gent"
1,_гордень#,_горденя,_гордня,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,gent"
2,_свёкор#,_свёкру,_свёкору,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,datv"
3,_ляпис-лазурь#,_ляпис-лазури,_ляпис-лазуи,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,nomn"
4,_клей#,_клеёв,_клеев,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
0,_компенсаторно-приспособительный#,_компенсаторно-приспособительной,_компенсаторно-приспосопьовьной,"ADJF masc,sing,nomn","ADJF femn,sing,ablt"
1,_дифенилоксидтетракарбоновый#,_дифенилоксидтетракарбоновым,_дифенилоксидтетратрабровамим,"ADJF masc,sing,nomn","ADJF masc,sing,ablt"
2,_обтёк#,_обтечёмте,_оботечёмте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,incl"
3,_вилиевна#,_вилиевнах,_вильевнах,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr plur,loct"
4,_аниевич#,_аниевича,_аньевича,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr sing,accs"
0,_кровоток#,_кровотоками,_кровотками,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,ablt"
1,_манхеттен#,_манхеттеном,_манхеттном,"NOUN,inan,masc,Geox sing,nomn,Infr","NOUN,inan,masc,Geox sing,ablt,Infr"
0,_оперативно-разведывательный#,_оперативно-разведывательное,_оперативно-разведватеватее,"ADJF masc,sing,nomn","ADJF neut,sing,accs"
1,_радиотермолюминесценция#,_радиотермолюминесценции,_радиотермолюминесцнецнии,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,accs"
0,_держу#,_держите,_дерзите,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,2per,pres,indc"
1,_архитектурно-планировочный#,_архитектурно-планировочным,_архитектурно-планировомны,"ADJF masc,sing,nomn","ADJF neut,sing,ablt"
2,_авдиевич#,_авдиевичу,_авдьевичу,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr sing,datv"
0,_вилиевна#,_вильевен,_вилиевен,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr plur,gent"
1,_корыто#,_корытах,_корытьях,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,loct"
2,_культурно-просветительный#,_культурно-просветительным,_культурно-просветтельным,"ADJF masc,sing,nomn","ADJF plur,datv"
0,_часы#,_часов,_час,"NOUN,inan,GNdr,Pltm plur,nomn","NOUN,inan,GNdr,Pltm plur,gent"
1,_триметилоэтантринитрат#,_триметилоэтантринитратов,_триметилоэтантриниратратов,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
2,_воронежоблавтотрансгаз#,_воронежоблавтотрансгазы,_воронежоблавтотрангазы,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,nomn"
0,_ростов-на-дону#,_ростова-на-дону,_ростов-на-дону,"NOUN,inan,masc,Sgtm,Geox sing,nomn","NOUN,inan,masc,Sgtm,Geox sing,gent"
1,_отёрся#,_отрётесь,_оторётесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,2per,futr,indc"
2,_тётя#,_тётей,_тёть,"NOUN,anim,femn sing,nomn","NOUN,anim,femn plur,gent,Infr"
3,_келья#,_кельей,_кельёй,"NOUN,inan,femn sing,nomn","NOUN,inan,femn sing,ablt"
4,_желчусь#,_желтился,_желчался,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr masc,sing,past,indc"
0,_унюхал#,_унюхаем,_уйнюаем,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,incl"
1,_бивень#,_бивней,_бивеней,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
2,_улан-баторец#,_улан-баторцах,_улан-баторецах,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,loct"
0,_бубен#,_бубнов,_бубенов,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,gent"
1,_материально-производственный#,_материально-производственный,_материально-произодстдонный,"ADJF masc,sing,nomn","ADJF inan,masc,sing,accs"
2,_пожал#,_пожмите,_пожните,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
3,_полземли#,_полуземлёй,_полземлий,"NOUN,inan,femn,Sgtm sing,nomn","NOUN,inan,femn,Sgtm sing,ablt"
4,_алексиевич#,_алексиевичам,_алексьевичам,"NOUN,anim,masc,Patr sing,nomn","NOUN,anim,masc,Patr plur,datv"
5,_ускорен#,_ускоренно,_ускорно,"ADJS,Qual masc,sing","ADJS,Qual neut,sing"
0,_центрально-чернозёмный#,_центрально-чернозёмных,_центрально-чернозёных,"ADJF masc,sing,nomn","ADJF plur,loct"
1,_шалю#,_шалите,_шальте,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
2,_осетин-дигорец#,_осетина-дигорца,_осетин-дигорца,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,accs"
0,_попятил#,_попять,_попяти,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
1,_зачуял#,_зачует,_зачуяет,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,3per,futr,indc"
2,_пообжился#,_пообживёмся,_пообожимся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,incl"
3,_уток#,_утками,_утоками,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,ablt"
4,_поразъехался#,_поразъедься,_поразъедайся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
5,_спекл-интерферометрия#,_спекл-интерферометриях,_спекл-интерферометирях,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,loct"
6,_полмиллиона#,_полумиллиону,_полмиллиону,"NOUN,inan,neut,Sgtm sing,nomn","NOUN,inan,neut,Sgtm sing,datv,Infr"
0,_гоможусь#,_гомозятся,_гомодятся,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,3per,pres,indc"
1,_озлил#,_озлите,_озлейте,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran plur,impr,excl"
2,_подвиг#,_подвигнул,_подвигго,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran masc,sing,past,indc,Infr"
3,_опился#,_обопьется,_опобьётся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
4,_транспортно-бомбардировочный#,_транспортно-бомбардировочное,_транспортно-бомбаридрионое,"ADJF masc,sing,nomn","ADJF neut,sing,nomn"
5,_отвожу#,_отвозили,_отводили,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,past,indc"
6,_траволта#,_траволты,_траволто,"NOUN,anim,femn,Sgtm,Surn sing,nomn","NOUN,anim,femn,Sgtm,Surn sing,gent"
7,_финка-ингерманландка#,_финок-ингерманландок,_финка-ингерманландок,"NOUN,anim,femn sing,nomn","NOUN,anim,femn plur,accs"
0,_сегвей#,_сигвею,_сегвее,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,datv,Infr"
1,_харч#,_харчем,_харчом,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,ablt"
2,_афандиевна#,_афандиевне,_афандьевне,"NOUN,anim,femn,Patr sing,nomn","NOUN,anim,femn,Patr sing,datv"
3,_мануфактур-коллегия#,_мануфактур-коллегиями,_мануфактур-коллгелими,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,ablt"
4,_авиазвено#,_авиазвенья,_авиазвена,"NOUN,inan,neut sing,nomn","NOUN,inan,neut plur,nomn"
0,_предплюсневее#,_попредплюсневее,_попредполсневее,COMP,COMP Cmp2
1,_планерный#,_планёрным,_планерным,"ADJF,Qual masc,sing,nomn","ADJF,Qual plur,datv,Infr"
0,_перемерил#,_перемерь,_перемери,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
1,_росрыбколхозсоюз#,_росрыбколхозсоюзам,_росрыбколхозсюозам,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,datv"
2,_пыхчу#,_пыхтели,_пыхтали,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,past,indc"
3,_вклинённый#,_вклиненное,_вклинённое,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv neut,sing,accs"
4,_антиевна#,_антьевны,_антиевны,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr plur,nomn"
5,_отуженный#,_отужденною,_отуженною,"PRTF,perf,tran,past,pssv masc,sing,nomn","PRTF,perf,tran,past,pssv femn,sing,ablt,V-oy"
6,_13-й#,_13-ю,_11-ую,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum femn,sing,accs"
0,_неполинезиец#,_неполинезийцами,_неполинезьцами,"NOUN,anim,masc sing,nomn","NOUN,anim,masc plur,ablt"
1,_перезрел#,_перезрейте,_перезрите,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
2,_желчу#,_желтите,_желчите,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,2per,pres,indc"
3,_центрально-чернозёмный#,_центрально-чернозёмного,_центрально-чернозённого,"ADJF masc,sing,nomn","ADJF neut,sing,gent"
0,_произошедший#,_происшедший,_произошедший,"PRTF,perf,intr,past,actv masc,sing,nomn,Infr","PRTF,perf,intr,past,actv masc,sing,nomn"
1,_промурлыкался#,_промурлыкаешься,_промурлычешься,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,2per,futr,indc"
2,_седок#,_седоке,_седке,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,loct"
3,_ристаю#,_ристали,_риставали,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,past,indc"
4,_томошусь#,_томошится,_томосится,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,3per,pres,indc"
5,_берёстовый#,_берёстовых,_берестовых,"ADJF,Qual masc,sing,nomn","ADJF,Qual plur,gent"
0,_барашек#,_барашка,_барашека,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,gent"
1,_ноябрьскнефтедорстройремонт#,_ноябрьскнефтедорстройремонтам,_ноябрьскнефтедорстройтрамам,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,datv"
0,_промозг#,_промозгните,_промозгите,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
1,_кошённый#,_кошенных,_кошённых,"PRTF,impf,tran,past,pssv masc,sing,nomn,Infr","PRTF,impf,tran,past,pssv plur,gent"
2,_строюсь#,_стройтесь,_строитесь,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr plur,impr,excl"
3,_закишел#,_закишим,_закишеем,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,incl"
0,_свожу#,_своди,_свози,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran sing,impr,excl"
1,_отуплённый#,_отупленная,_отуплённая,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv femn,sing,nomn"
2,_иссякнувший#,_иссякшею,_иссякшуею,"PRTF,perf,intr,past,actv masc,sing,nomn","PRTF,perf,intr,past,actv femn,sing,ablt,V-ey,Infr"
3,_аллиевич#,_алльевичам,_аллиевичам,"NOUN,anim,masc,Patr sing,nomn,V-ie","NOUN,anim,masc,Patr plur,datv"
4,_вшиб#,_вшиби,_вшеби,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
5,_почил#,_почиемте,_почимте,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,incl"
6,_удрал#,_удерёшь,_удрадёшь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,2per,futr,indc"
7,_перепал#,_перепадите,_перепайте,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
8,_обузил#,_обузь,_обузи,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
9,_обессилен#,_обессиленны,_обессильны,"ADJS masc,sing",ADJS plur
10,_кегель#,_кегли,_кегели,"NOUN,inan,masc sing,nomn","NOUN,inan,masc plur,accs"
11,_купля#,_купель,_купей,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,gent"
0,_вязьмич#,_вязьмичем,_вязьмичом,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,ablt"
1,_тот-то#,_того-то,_тот-то,"ADJF,Apro masc,sing,nomn","ADJF,Apro anim,masc,sing,accs"
2,_экспериментально-исследовательский#,_экспериментально-исследовательской,_экспериментально-исслесльслейсльельсьле,"ADJF masc,sing,nomn","ADJF femn,sing,loct"
3,_перепроизвожусь#,_перепроизводись,_перепроизводься,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
4,_засвербел#,_засвербите,_засвербейте,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
5,_перескрёб#,_перескребло,_перескрёбло,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran neut,sing,past,indc"
6,_подщипал#,_подщиплешь,_подщипаешь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,2per,futr,indc"
0,_павлодартрактор#,_павлодартракторам,_павлодартаркторам,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn plur,datv"
1,_оказался#,_окажись,_оказайся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,impr,excl"
2,_передняя#,_передним,_передням,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,datv"
3,_надъел#,_надъешь,_надъесь,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
4,_крепёж#,_крепёж,_крепеж,"NOUN,inan,masc sing,nomn","NOUN,inan,masc sing,accs"
5,_жук-скарабей#,_жуку-скарабею,_жук-скарабею,"NOUN,anim,masc sing,nomn","NOUN,anim,masc sing,datv"
0,_дифенилоксидтетракарбоновый#,_дифенилоксидтетракарбоновому,_дифенилоксидтетратрабровуему,"ADJF masc,sing,nomn","ADJF masc,sing,datv"
1,_желчу#,_желтим,_желчим,"VERB,impf,tran sing,1per,pres,indc","VERB,impf,tran plur,1per,pres,indc"
0,_противострептококковый#,_противострептококковым,_противострептококовым,"ADJF masc,sing,nomn","ADJF masc,sing,ablt"
1,_чей-нибудь#,_чьей-нибудь,_чьейн-ибудь,"ADJF,Apro masc,sing,nomn","ADJF,Apro femn,sing,datv"
2,_изошедший#,_исшедшей,_изошедшей,"PRTF,perf,intr,past,actv masc,sing,nomn","PRTF,perf,intr,past,actv femn,sing,ablt,Infr"
3,_втюрился#,_втюрьтесь,_втюритесь,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr plur,impr,excl"
4,_адмиралтейств-коллегия#,_адмиралтейств-коллегии,_адмиралтейств-оклегиии,"NOUN,inan,femn sing,nomn","NOUN,inan,femn plur,nomn"
5,_тмим#,_тми,_тмим,"VERB,impf,tran plur,1per,pres,indc","VERB,impf,tran sing,impr,excl"
0,_обезлюдил#,_обезлюдь,_обезлюди,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
1,_горе#,_горя,_горе,"NOUN,inan,neut,Sgtm sing,nomn","NOUN,inan,neut,Sgtm sing,gent"
2,_отуплённый#,_отупленным,_отуплённым,"PRTF,perf,tran,past,pssv masc,sing,nomn,Infr","PRTF,perf,tran,past,pssv neut,sing,ablt"
0,_13-й#,_13-ой,_ми-ой,"ADJF,Abbr,Anum masc,sing,nomn","ADJF,Abbr,Anum femn,sing,gent"
1,_полибутадиеннитрилакриловый#,_полибутадиеннитрилакриловом,_полибутадиеннитрикарларлом,"ADJF masc,sing,nomn","ADJF masc,sing,loct"
2,_арефиевна#,_арефьевну,_арефиевну,"NOUN,anim,femn,Patr sing,nomn,V-ie","NOUN,anim,femn,Patr sing,accs"
3,_ерунжу#,_ерунди,_ерунжи,"VERB,impf,intr sing,1per,pres,indc","VERB,impf,intr sing,impr,excl"
4,_выдался#,_выдастся,_выдадтся,"VERB,perf,intr masc,sing,past,indc","VERB,perf,intr sing,3per,futr,indc"
5,_тверьоборонпромкомплекс#,_тверьоборонпромкомплексом,_тверьоборонпромкомплеком,"NOUN,inan,masc,Orgn sing,nomn","NOUN,inan,masc,Orgn sing,ablt"
0,_гост#,_гост,_госта,"NOUN,inan,masc,Abbr sing,nomn","NOUN,inan,masc,Abbr plur,datv,Infr"
1,_стяжал#,_стяжай,_стяжи,"VERB,perf,tran masc,sing,past,indc","VERB,perf,tran sing,impr,excl"
